Date,Open,High,Close,Low,Change %
43883,"4,058.30","4,008.80","4,074.00","3,991.30",1.23%
43882,"4,008.80","4,053.70","4,122.00","3,975.30",-1.14%
43881,"4,055.00","3,989.90","4,070.00","3,969.20",1.63%
43880,"3,989.90","3,978.40","4,081.40","3,943.40",0.30%
43879,"3,978.10","3,734.50","4,019.90","3,723.90",6.52%
43878,"3,734.50","3,676.50","3,788.80","3,668.90",1.58%
43877,"3,676.40","3,670.10","3,724.90","3,666.00",0.18%
43876,"3,670.00","3,656.70","3,716.30","3,644.50",0.36%
43875,"3,656.70","3,665.50","3,681.10","3,641.10",-0.26%
43874,"3,666.10","3,694.10","3,735.40","3,650.40",-0.76%
43873,"3,694.20","3,681.00","3,728.00","3,645.30",0.36%
43872,"3,681.10","3,749.70","3,749.70","3,672.00",-1.74%
43871,"3,746.30","3,718.30","3,753.50","3,667.10",0.75%
43870,"3,718.40","3,724.10","3,739.10","3,688.80",-0.15%
43869,"3,724.00","3,439.00","3,799.60","3,427.80",8.38%
43868,"3,436.10","3,451.90","3,462.30","3,429.30",-0.46%
43867,"3,452.00","3,512.60","3,521.00","3,417.60",-1.73%
43866,"3,512.60","3,490.40","3,517.00","3,475.90",0.63%
43865,"3,490.50","3,504.20","3,522.60","3,475.30",-0.32%
43864,"3,501.70","3,564.50","3,566.80","3,470.10",-1.76%
43863,"3,564.30","3,534.80","3,575.40","3,500.80",0.79%
43862,"3,536.20","3,502.70","3,557.20","3,465.00",1.00%
43861,"3,501.10","3,529.70","3,565.70","3,482.20",-0.81%
43860,"3,529.60","3,478.00","3,548.00","3,451.50",1.49%
43859,"3,477.90","3,501.10","3,512.50","3,427.20",-0.68%
43858,"3,501.90","3,597.10","3,597.90","3,450.30",-2.65%
43857,"3,597.10","3,630.70","3,642.50","3,544.00",-0.93%
43856,"3,630.70","3,629.00","3,745.80","3,624.80",0.05%
43855,"3,628.90","3,653.00","3,663.40","3,582.10",-0.65%
43854,"3,652.60","3,621.70","3,670.00","3,589.90",0.90%
